chr1	235146496	235148375		1123
chr1	230258502	230260206		1820
chr1	221949441	221952168		1264
chr1	192485710	192487150		762
chr1	235097775	235099687		614
chr1	192528270	192529353		684
chr1	40851036	40852361		1119
chr1	236319779	236320525		2090
chr1	192544237	192545483		1319
chr1	236322777	236324156		1336
chr1	233734411	233735822		1456
chr1	233732975	233733821		719
chr1	25348484	25349824		1309
chr1	205257081	205257864		1529
chr1	160758945	160760679		1641
chr1	156075895	156076444		1651
chr1	235113962	235115134		2455
chr1	221966775	221968122		727
chr1	67798472	67799437		647
chr1	150534468	150536283		3172
chr1	234745848	234749218		921
chr1	66815624	66816479		726
chr1	87914918	87915754		1032
chr1	82063426	82064783		352
chr1	156474261	156475449		3767
chr1	31237870	31239100		2050
chr1	203258524	203260458		2743
chr1	200835431	200836635		723
chr1	107538536	107539118		249
chr1	160370013	160370411		845
chr1	200939032	200939608		773
chr1	42216799	42218572		1818
chr1	9140134	9141161		1712
chr1	205718464	205719979		1596
chr1	234907840	234908921		808
chr1	221927169	221928469		1058
chr1	66749094	66749848		945
chr1	192577755	192579034		702
chr1	210566891	210568243		430
chr1	192574032	192574612		404
chr1	88615726	88616774		220
chr1	151319198	151320528		3917
chr1	111758378	111759318		1018
chr1	212740176	212741048		625
chr1	235183738	235184294		1646
chr1	90135486	90136196		722
chr1	206976476	206977225		1088
chr1	203255844	203257279		1260
chr1	226850437	226851121		862
chr1	230245514	230246353		1247
chr1	159892874	159894739		1323
chr1	150583864	150584405		1847
chr1	25357175	25359419		2105
chr1	66801375	66802372		788
chr1	67659951	67660699		1379
chr1	206963719	206964501		1166
chr1	28201603	28202212		2825
chr1	19278187	19279365		2067
chr1	66747881	66748720		945
chr1	235151308	235152032		1059
chr1	192507865	192509130		595
chr1	101644108	101645173		1573
chr1	219638554	219639429		559
chr1	202585111	202585903		1329
chr1	200417027	200417938		761
chr1	207103594	207104285		1659
chr1	195164306	195165086		670
chr1	68224811	68226355		1011
chr1	118206815	118207509		1290
chr1	156066461	156067305		1882
chr1	206290021	206290765		1724
chr1	12106960	12108114		2510
chr1	207097372	207099084		1901
chr1	222012937	222014235		937
chr1	221242326	221243446		582
chr1	172787466	172788829		410
chr1	14028931	14029882		1845
chr1	234406728	234407493		912
chr1	42194190	42194982		1661
chr1	173378800	173380468		1638
chr1	28525873	28526943		1270
chr1	8487368	8488153		1233
chr1	160765538	160766208		1948
chr1	221330514	221331177		407
chr1	999088	1000014		3035
chr1	247603213	247604070		618
chr1	200940317	200940905		597
chr1	205254878	205256123		3049
chr1	207494287	207495227		756
chr1	207509244	207511012		1788
